"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-01","15.43",,"0.00","0.0",,"39","43","36","  260","  250","29.1","42.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-02","12.53",,"0.00","0.0",,"40","49","34","  280","  250","21.0","28.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-03","7.16",,"0.00","0.0",,"47","52","44","  230","  230","17.0","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-04","5.37",,"0.13","0.0",,"47","48","40","  350","  360","14.1","18.1","    1",,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-05","16.55",,"0.11","0.0",,"39","41","32","  310","  320","31.1","40.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-06","6.71",,"0.00","0.0",,"33","41","27","  250","  240","21.0","30.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-07","9.17",,"0.00","0.0",,"38","42","33","  270","  260","21.9","25.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-08","14.09",,"0.02","0.1",,"38","45","29","  280","  280","30.0","40.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-09","13.20",,"0.00","0.0",,"29","33","22","  300","  300","25.9","36.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-10","13.87",,"0.00","0.0",,"38","53","29","  230","  240","29.1","36.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-11","18.12",,"0.00","0.0",,"57","70","49","  230","  200","38.9","48.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-01-12","20.80",,"0.02","0.0",,"66","74","40","  210","  220","36.0","44.1","    1",,,,,,"    1"
